link,white,black,white_titled,black_titled,white_elo,black_elo,result,white_rating_diff,black_rating_diff,time_control,termination,eco,opening
https://lichess.org/n0QZcjc5,Lambergar,Pat9471,BOT,BOT,2594,2882,0-1,-2,+2,1800+2,Normal,C67,Ruy Lopez: Berlin Defense, Rio Gambit Accepted
https://lichess.org/3HtsF307,kopyto_dev,sseh-c,BOT,BOT,2040,2028,1-0,+5,-5,600+1,Normal,A48,Queen's Pawn Game: Barry Attack
https://lichess.org/JUsgtVMA,jpg-bot,SaxtonEngine,BOT,BOT,2724,2769,0-1,-5,+5,600+2,Normal,C11,French Defense: Steinitz Variation, Boleslavsky Variation
https://lichess.org/preV6tLW,MAGIC11BOT,ArasanX,BOT,BOT,2869,2990,1/2-1/2,+1,-2,900+5,Normal,C89,Ruy Lopez: Marshall Attack, Modern Variation
https://lichess.org/aZmaeCS7,chmod-bot,RavenEngine,BOT,BOT,2530,2368,1-0,+4,-3,900+0,Normal,B52,Sicilian Defense: Moscow Variation, Main Line
https://lichess.org/OpHKieM4,RavenEngine,chmod-bot,BOT,BOT,2368,2530,1-0,+8,-8,900+2,Time forfeit,C80,Ruy Lopez: Open
https://lichess.org/bbWMZcqN,gekkammi-bot,byte-knight,BOT,BOT,2197,2238,1-0,+6,-6,600+1,Normal,B00,Nimzowitsch Defense: Scandinavian Variation, Exchange Variation
https://lichess.org/5aadWGjY,Boosted_Maia_1900,Oxide9,BOT,BOT,2066,2219,0-1,-4,+3,600+1,Normal,C55,Italian Game: Two Knights Defense, Modern Bishop's Opening
https://lichess.org/JJ0Da3uk,matmoi,natto-bot,BOT,BOT,2121,2121,1/2-1/2,+0,+0,600+1,Normal,A19,English Opening: Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit
https://lichess.org/VxXxde4m,Euwe-chess-engine,FataliiBot,BOT,BOT,2591,2303,1-0,+2,-2,600+2,Normal,C11,French Defense: Classical Variation, Burn Variation
https://lichess.org/bAz2R0BE,WolfuhfuhBot,Goldfish-Engine,BOT,BOT,2288,2250,1-0,+5,-5,600+0,Normal,B20,Sicilian Defense: Lasker-Dunne Attack
