link,white,black,white_titled,black_titled,white_elo,black_elo,result,white_rating_diff,black_rating_diff,time_control,termination,eco,opening,moves_uci,num_moves
https://lichess.org/qdyaBGl4,FABIOMOCOA,PatzerKatze,,,2047,2084,1-0,+6,-6,600+5,Normal,D00,Queen's Pawn Game: Accelerated London System,d2d4 d7d5 c1f4 g8f6 e2e3 c7c5 g1f3 b8c6 c2c3 d8b6 b2b3 c8g4 f1e2 e7e6 e1g1 a8c8 h2h3 g4h5 b1d2 c5d4 c3d4 f8e7 f3e5 h5e2 d1e2 e8g8 f1c1 e7a3 c1c2 c6b4 c2c8 f8c8 d2f1 c8c2 e2f3 f6e4 f4g3 c2a2 f3f7 g8h8 f7f8,41
https://lichess.org/4OcBzDwg,manzanapodrida22,zorovavelj,,,2048,2113,0-1,-8,+5,600+0,Time forfeit,A20,English Opening: King's English Variation,c2c4 e7e5 g2g3 b8c6 f1g2 g8e7 b1c3 d7d6 d2d3 g7g6 e2e4 f8g7 g1e2 e8g8 e1g1 f7f5 f2f4 c6d4 e2d4 e5d4 c3e2 c7c5 g1h1 a8b8 a2a4 b7b6 b2b3 c8b7 e2g1 e7c6 g1h3 c6b4 c1a3 f5e4 d3e4 d4d3 a1c1 b4c2 c1c2 d3c2 d1c2 d8d7 f1d1 b8e8 e4e5 b7g2 h1g2 d7f5 c2f5 g6f5 d1d6 e8d8 d6e6 d8d2 g2f3 f8d8 h3f2 d2a2 a3c1 g8f7 e6c6 f7e7 c6c7 d8d7 c7c6 a2c2 c1e3 c2c3 a4a5 c3b3 a5b6 a7b6 f3e2 d7a7 c6c8 a7a2 e2f3 a2a3 f2d1 b3d3 f3e2 d3b3 c8b8 e7f7 b8b7 f7g6 h2h4 a3a2 e2f3 h7h5 b7c7 g7f8 c7c6 g6g7 c6c7 g7g8 c7c8 b3b1 d1f2 a2a3 c8b8 g8f7 b8b7 f8e7 f3e2 b1b3 f2d1 a3a2 e2f3 b3b1 d1f2 b1b2 b7c7 a2a3 c7b7 b6b5 c4b5 c5c4 b5b6 c4c3 f3g2 f7e6 e3d4 a3b3 b7c7 e6d5 d4c3 b2f2 g2f2 e7c5 f2e2 b3c3 b6b7 c3b3 e2d2 c5f2 d2c2 b3b6 c7e7 f2g3 e5e6 g3f4 e7h7 d5e6 h7g7 f4e5 g7g6 e5f6 c2d3 b6b7 d3c4 b7g7 g6h6 g7g4 c4c5 g4h4 c5c6 h4c4 c6b5 c4c1 b5b4 h5h4 b4b3 e6e5 b3b2 c1c8,166
https://lichess.org/cdGK6gVP,trashford,saidelmasry11,,,2138,2128,1-0,+6,-5,600+0,Normal,A21,"English Opening: King's English Variation, Reversed Sicilian",c2c4 e7e5 b1c3 d7d6 g2g3 g8f6 f1g2 c7c5 e2e3 b8c6 g1e2 c8g4 h2h3 g4h5 e1g1 f8e7 d1b3 a8b8 b3a4 e8g8 g2c6 b7c6 a4c6 e5e4 g3g4 f6g4 h3g4 h5g4 c6e4 g4e6 c3d5 e6d5 e4d5 e7f6 d2d4 c5d4 e3d4 f8e8 e2g3 d8b6 c4c5 d6c5 d4c5 b6b5 a1b1 b8d8 d5f5 e8e5 f5f3 b5c5 c1e3 c5a5 a2a3 d8e8 e3f4 e5e6 b2b4 a5a6 b4b5 a6a4 f4d2 a4c2 d2b4 c2g6 b1e1 f6h4 e1e6 f7e6 a3a4 e6e5 a4a5 h7h6 f3g2 e5e4 g3e2 g6f5 b4c3 e8e7 b5b6 a7b6 a5b6 f5b5 e2d4 b5b6 d4f5 e7c7 c3g7 h4g5 f5h6 g5h6 g7d4 g8h7 d4b6 c7g7 g2g7 h6g7 f1e1,97
https://lichess.org/GUBYQa3n,mrjusti97,fhadm,,,2033,2034,0-1,-6,+11,600+0,Normal,C46,Three Knights Opening,e2e4 e7e5 g1f3 b8c6 b1c3 f8c5 f1b5 a7a6 b5a4 g8f6 f3e5 c5f2 e1f2 c6e5 d2d4 e5g4 f2g1 h7h5 c1g5 b7b5 a4b3 d7d6 e4e5 d6e5 d1f3 d8d4 g1f1 c8b7 b3d5 b7d5 c3d5 d4d5,32
https://lichess.org/rHwWEvQj,Denis_70_Tomsk,cdn97x,,,2009,2158,0-1,-3,+25,900+0,Normal,C20,King's Pawn Game: Leonardis Variation,e2e4 e7e5 d2d3 g8f6 c2c3 b8c6 h2h3 d7d5 d1c2 a7a5 c1g5 h7h6 g5f6 g7f6 g1f3 c8e6 f1e2 f6f5 e1g1 h8g8 g1h1 d8f6 f1g1 f8c5 e2f1 f5e4 d3e4 d5e4 c2e4 c5f2 b1d2 f2g1 h1g1 e6h3 d2c4 e8c8 c4e5 c6e5 e4e5 f6f3,40
https://lichess.org/6NSwJde6,juanjo1978,Liontin01,,,2017,2033,0-1,-6,+6,600+0,Normal,C26,Vienna Game: Stanley Variation,e2e4 e7e5 b1c3 g8f6 f1c4 c7c6 g1f3 d7d5 e4d5 c6d5 c4b5 c8d7 e1g1 e5e4 f1e1 f8e7 f3e5 d7b5 c3b5 e8g8 d2d4 a7a6 b5c3 b8c6 a2a3 e7d6 e5g4 f6g4 d1g4 f7f5 g4d1 d6c7 c3e2 f5f4 f2f3 d8h4 c2c4 e4f3 g2f3 d5c4 e2c3 a8d8 d4d5 c7b6 g1h1 c6d4 e1e4 d4b3 a1b1 b3c1 b1c1 b6e3 c1c2 f8f5 c2g2 f5h5 d5d6 h5h6 d6d7 g8f8 c3e2 h4f6 e4c4 h6g6 g2g6 h7g6 d1d5 f6f7 d5e4 f7d7 e2f4 d7d1 h1g2 d8d2 g2h3 d1f1 h3g4 f1g1 g4h4 d2h2 f4h3 g1g5,82
https://lichess.org/UTX7hTzB,reymart11,my_son_wants_robuxs,,,2032,2118,0-1,-6,+5,600+0,Time forfeit,E60,Indian Defense: West Indian Defense,d2d4 g8f6 c2c4 g7g6 c1g5 f8g7 g1f3 e8g8 b1c3 d7d6 d1d2 c7c5 g5h6 b8c6 d4d5 c6a5 e2e4 e7e6 f1e2 f8e8 e1g1 e6d5 e4d5 a7a6 a2a3 a5b3 d2f4 b3a1 f1a1 f6h5 f4d2 b7b5 c4b5 a6b5 e2b5 a8b8 b5e8 d8e8 a1e1 e8f8 h6g7 g8g7 c3e4 c8f5 d2c3 f7f6 h2h3 h5f4 e4g3 f5d7 c3d2 g6g5 g3e2 f4g6 d2c3 g6e5 f3e5 f6e5 e2g3 f8f7 e1d1 b8f8 d1d2 h7h6 g3e4 f7e7 b2b4 c5b4 c3b4 f8f4 b4d6 e7d6 e4d6 f4a4 f2f3 a4a3 d6c4 a3a1 g1f2 g7f6 c4b6 a1a7 b6d7 a7d7 f2e3 f6f5 g2g4 f5f6 e3e4 d7a7 d5d6 f6e6 d2b2 a7a4 e4e3 a4a3 e3f2 a3d3 b2b8 d3d6 b8h8 e6d5 f2g3 d6c6 h3h4 d5d4 h4g5 h6g5 h8g8 e5e4 f3e4 d4e4 g8g5 c6h6 g5f5 h6g6 f5f1 e4e5 g3h4 g6f6 f1g1 e5e6 h4h5 e6f7 g4g5 f6a6 g5g6 f7g7 g1g5 a6a1 g5g4 a1h1 h5g5 h1h6 g5f5 h6h5 f5e6 h5h1 e6f5 h1f1 f5g5 f1a1 g4e4 a1a5 g5g4 a5a1 g4f5 a1f1 f5g5 f1g1 e4g4 g1f1 g4f4 f1b1 f4g4 g7g8 g4h4 b1b5,158
https://lichess.org/jAiZuuGG,Troyanoff,andryha83,,,2082,2067,1-0,+6,-5,600+0,Normal,B21,Sicilian Defense: McDonnell Attack,e2e4 c7c5 f2f4 d7d6 g1f3 b8c6 h2h3 g8f6 e4e5 d6e5 f4e5 f6d5 c2c3 e7e6 d2d4 c5d4 c3d4 f8b4 c1d2 d8b6 a2a3 b4d2 d1d2 e8g8 b1c3 d5c3 b2c3 c6e7 f1d3 c8d7 e1g1 e7g6 h3h4 b6d8 h4h5 g6h4 d2f4 h4f3 f1f3 g8h8 f4e4 g7g6 h5g6 h7g6 e4f4 h8g7 a1f1 d7c6 f3h3 d8e7 f4h6 g7g8 h6h7,53
https://lichess.org/rUi0uD81,liaqat321,IceSlow,,,2297,2383,0-1,-4,+4,600+0,Normal,E06,Catalan Opening: Closed,d2d4 d7d5 c2c4 e7e6 g1f3 g8f6 g2g3 f8e7 f1g2 e8g8 d1c2 a7a6 e1g1 d5c4 c2c4 b7b5 c4c2 c8b7 c1f4 f6d5 e2e4 d5f4 g3f4 b8d7 b1d2 c7c5 d4c5 d7c5 f1d1 d8b6 f3e5 a8c8 c2b1 f8d8 b2b4 c5a4 d2f1 d8d1 b1d1 e7b4 d1h5 f7f6 h5f7 g8h8 e5d7 b6d4 e4e5 b7g2 e5f6 c8g8 g1g2 d4a1 f1g3 a1d4 f7e6 d4d6 f6g7 g8g7 e6e8 g7g8 e8f7 a4b6 d7f6 g8g7 f7e8 d6f8 e8e6 g7g6 f6h5 g6e6 f4f5 e6h6 g2h3 h6h5 g3h5 f8f5 h3h4 f5h5 h4h5 b4c5 h5g4 h8g7 f2f4 g7f6 f4f5 b6d5 g4f3 a6a5 f3e4 d5e7 h2h4 e7c8 h4h5 c8d6 e4d5 c5b4 d5d4 f6f5 d4d5 f5g5 d5d4 g5h5 d4d3 h5g5 d3c2 h7h5 c2b3 h5h4,108
https://lichess.org/qdYHLF73,gxgsjsw,DedaVova1955,,,2130,2057,1-0,+5,-4,600+0,Normal,C78,Ruy Lopez: Morphy Defense,e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 b7b5 a4b3 f8c5 c2c3 e8g8 d2d4 e5d4 c3d4 c5b6 c1g5 h7h6 g5h4 g7g5 h4g3 f6e4 b1c3 e4g3 h2g3 d7d5 f1e1 c6e7 f3e5 c8e6 d1h5 g8g7 f2f4 g5f4 g3f4 e6f5 a1d1 f5g6 h5g4 d8c8 g4c8 a8c8 e5d7 f8d8 d7b6 c7b6 e1e7 g6e4 c3e4 d5e4 e7e4 a6a5 e4e7 a5a4 e7f7 g7g8 b3e6 g8h8 e6c8,61
